area,counts,coordinates,lat,lon
Maputo Province,2,-25.966213 32.56745,-25.966213,32.56745
Holquin Province,2,,,
Nuku'alofa,2,-21.1343401 -175.2018085,-21.1343401,-175.2018085
Western Province,2,6.8275297 79.931296,6.8275297,79.931296
Saint-Benoit,2,45.6903603 5.5945661,45.6903603,5.5945661
Grand Canary Island,2,44.8935641 -91.9260022,44.8935641,-91.9260022
Bimini Islands,1,25.70597 -79.2681,25.70597,-79.2681
Ibiza Island,1,38.9743901 1.4197463,38.9743901,1.4197463
Andros Islands,1,24.43333 -77.95,24.43333,-77.95
Kochi Prefecture,1,33.6569018 133.5606241,33.6569018,133.5606241
Sucre,1,-19.0477251 -65.2594306,-19.0477251,-65.2594306
Beaufonds,1,-21.050639 55.721444,-21.050639,55.721444
Off Vanua Levu,1,-18.2362655 178.0683339,-18.2362655,178.0683339
800 miles from land,1,-42.9033405 147.3361625,-42.9033405,147.3361625
"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",1,,,
Santiago de Cuba Province,1,20.0214637 -75.8294928,20.0214637,-75.8294928
Southland,1,-45.7255555 168.2936808,-45.7255555,168.2936808
Red Sea Protectorate,1,22.9007571 35.5393199,22.9007571,35.5393199
Kuril Islands in the Pacific,1,38.482 -90.74152,38.482,-90.74152
Bird Island,1,15.6691535 -63.6280612,15.6691535,-63.6280612
Devon,1,50.724165 -3.6607958,50.724165,-3.6607958
 Loyalty Islands,1,-20.9327968 167.1657726,-20.9327968,167.1657726
Catalunya,1,41.8523094 1.5745043,41.8523094,1.5745043
Antsiranana Province,1,-13.9745753 49.2308524,-13.9745753,49.2308524
"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",1,,,
Hong Kong,1,22.2793278 114.1628131,22.2793278,114.1628131
Fernando de Noronha,1,-3.8548681 -32.4208941,-3.8548681,-32.4208941
Vanua Levu,1,-16.5788332 179.1930927,-16.5788332,179.1930927
Grand'Anse,1,18.5304144 -74.1511463,18.5304144,-74.1511463
Umm al Qaywayan Province,1,,,
Strait of Malacca,1,3.0 101.0,3.0,101.0
Majorca,1,39.6134018 2.8804305,39.6134018,2.8804305
40 miles off Grand Bahama Island,1,26.63333 -78.41667,26.63333,-78.41667
Muhafazat Hadramawt,1,16.0 49.0,16.0,49.0
Samaná Province,1,-13.198976 -74.3123543,-13.198976,-74.3123543
Cargados Carajos Shoals (St. Brandon),1,-16.2411839 59.5915368,-16.2411839,59.5915368
Johnston Atoll,1,16.7524461 -169.5107016,16.7524461,-169.5107016
Gaza,1,31.5077213 34.4607415,31.5077213,34.4607415
Saint Gilles ,1,49.2801594 3.6756348,49.2801594,3.6756348
St. Catherine,1,28.5675077 33.9535607,28.5675077,33.9535607
San Andrés archipelago,1,12.8086902 -81.4908431,12.8086902,-81.4908431
